No.,Source,Name,Abbrev_Name,Orig Res,Orig Color,Framerate,Bit,Dur (sec),framenum,start_end
1,Ultravideo,Beauty,Beauty,3840 × 2160,YUV 420,120,10,5,600,"No cut, 600 frames"
2,Ultravideo,HoneyBee,HoneyBee,3840 × 2160,YUV 420,120,10,5,600,"No cut, 600 frames"
3,Ultravideo,Jockey,Jockey,3840 × 2160,YUV 420,120,10,5,600,"No cut, 600 frames"
4,Ultravideo,ReadySetGo,Ready,3840 × 2160,YUV 420,120,10,5,600,"No cut, 600 frames"
5,Ultravideo,Yacht Ride,Yacht,3840 × 2160,YUV 420,120,10,5,600,"No cut, 600 frames"
6,Harmonic,Snow Monkeys,Monkeys,3840 × 2160,YUV 420,60,10,6,360,1639_1998
7,Harmonic,American Football,Football,3840 × 2160,YUV 420,60,10,7,420,2018_2437
8,Netflix Chimera,Dancers,Dancers,4096 × 2160,YUV 420,60,10,6.7,404,795_1198
9,Netflix Chimera,Dinner Scene,Dinner,4096 × 2160,YUV 420,60,10,6,360,790-1150
10,Netflix Chimera,Toddler Fountain,Toddler,4096 × 2160,YUV 420,60,10,7,420,0_419
11,Netflix El Fuente,Narrator,Narrator,4096 × 2160,YUV 420,60,10,5,300,"No cut, 300 frames"
12,Netflix El Fuente,Tunnel Flag,Tunnel,4096 × 2160,YUV 420,60,10,6,360,1_360
13,Netflix El Fuente,Ritual Dance,Ritual,4096 × 2160,YUV 420,60,10,4.7,280,141_420
14,Netflix Meridian,Discussion,Discuss,3840 × 2160,YUV 422,60,10,6.3,380,1782_2161
15,Netflix Meridian,Sea&Rock,SeaRock,3840 × 2160,YUV 422,60,10,4.5,272,23448_23719
